skill,accuracy,attempts,hints,response_time,difficulty_score
Absolute Value,0.7037037037037037,1.348148148148148,0.1925925925925926,24110.355555555554,0.2993827160493827
Addition Mixed Fractions,0.2222222222222222,1.0,0.0,134799.55555555556,0.38425925925925924
Addition Proper Fractions,0.5,1.0,0.0,54925.75,0.2916666666666667
Addition Whole Numbers,0.8591549295774648,1.2535211267605635,0.09859154929577464,38894.633802816905,0.22007042253521128
Addition and Subtraction Fractions,0.6943143812709031,1.4408026755852843,0.5317725752508361,78599.92040133779,0.37062430323299883
Addition and Subtraction Integers,0.7564599483204134,1.4043927648578811,0.20219638242894056,28283.168604651164,0.2904285099052541
Addition and Subtraction Positive Decimals,0.7954545454545454,1.2632575757575757,0.14015151515151514,55353.63446969697,0.249447601010101
Algebraic Simplification,0.25,1.5,0.0,81669.25,0.4375
Algebraic Solving,0.65625,1.40625,0.25,68039.9375,0.33203125
"Angles - Obtuse, Acute, and Right",0.8495575221238938,1.176991150442478,0.017699115044247787,23583.433628318584,0.2002212389380531
Angles on Parallel Lines Cut by a Transversal,0.8032786885245902,1.0655737704918034,0.14754098360655737,28373.72131147541,0.22336065573770492
Area Circle,0.6292682926829268,1.146341463414634,0.45365853658536587,62990.46829268293,0.34247967479674796
Area Irregular Figure,0.6102941176470589,1.2058823529411764,0.4338235294117647,61495.507352941175,0.35294117647058815
Area Parallelogram,0.7830188679245284,1.1320754716981132,0.10377358490566038,43880.188679245286,0.23113207547169812
Area Rectangle,0.7898550724637681,1.2391304347826086,0.16666666666666666,35094.1231884058,0.25271739130434784
Area Trapezoid,0.5214723926380368,1.4233128834355828,0.3803680981595092,66298.71165644172,0.40081799591002043
Area Triangle,0.7124463519313304,1.1974248927038627,0.15450643776824036,45831.9356223176,0.27128040057224606
Associative Property,0.0,1.0,0.0,7558.0,0.4583333333333333
Bar Graph,1.0,1.0,0.0,11150.333333333334,0.125
Box and Whisker,0.7341772151898734,1.240506329113924,0.26582278481012656,42096.50632911392,0.2879746835443038
Calculations with Similar Figures,0.6233766233766234,1.5909090909090908,0.7272727272727273,60615.67532467532,0.44561688311688313
Choose an Equation from Given Information,0.75,1.0,0.0,106722.75,0.20833333333333334
Circle Concept,0.3333333333333333,1.0,0.0,28257.0,0.34722222222222227
Circle Graph,1.0,1.0,0.0,26254.272727272728,0.125
Circumference,0.8,1.0,0.0,86027.4,0.19166666666666665
Circumference ,0.6872037914691943,1.2511848341232228,0.33649289099526064,55060.473933649286,0.3167456556082148
Combining Like Terms,0.5276381909547738,1.814070351758794,1.1959798994974875,81772.98492462312,0.5835427135678392
Common Factor,0.0,1.0,0.0,21752.0,0.4583333333333333
Common Multiple,0.3333333333333333,1.0,0.6666666666666666,22634.333333333332,0.4583333333333333
Commutative Property,0.6666666666666666,1.0,0.0,21452.333333333332,0.23611111111111113
Comparing and Identifying Slope/Rate of Change,0.7777777777777778,1.3333333333333333,0.0,65456.22222222222,0.24074074074074073
Complementary and Supplementary Angles,0.8307692307692308,1.146153846153846,0.15384615384615385,36835.45769230769,0.22532051282051277
Composition of Function Adding,0.65,1.4,0.6,71739.95,0.39166666666666666
Computation with Real Numbers,0.6666666666666666,1.4,0.36666666666666664,44565.3,0.34722222222222227
Concept Volume,0.6666666666666666,1.0,0.0,114155.66666666667,0.23611111111111113
Congruence,0.8936170212765957,1.0851063829787233,0.19148936170212766,25590.531914893618,0.20301418439716312
Conversion of Fraction Decimals Percents,0.7401129943502824,1.3634651600753296,0.3700564971751412,41304.483992467045,0.3187382297551789
Counting Methods,0.7625,1.3875,0.275,49958.0625,0.2984375000000001
D.4.8-understanding-concept-of-probabilities,1.0,1.0,0.0,30280.6,0.125
Definition Pi,0.5,1.0,0.0,25705.714285714286,0.2916666666666667
Distance Formula,0.6363636363636364,1.0,0.0,15812.0,0.24621212121212122
Distributive Property,0.6333798882681564,1.4301675977653632,0.45251396648044695,55537.935754189944,0.37639664804469275
Divisibility Rules,0.61875,1.5833333333333333,0.45,53232.10833333333,0.39999999999999997
Division Fractions,0.644122383252818,1.4830917874396135,0.714975845410628,71400.82125603865,0.4231749865807837
Division Mixed Fractions,0.14285714285714285,1.0,0.7142857142857143,240749.14285714287,0.5297619047619048
Division Proper Fractions,0.2,1.0,0.0,130521.2,0.39166666666666666
Division Whole Numbers,0.6744186046511628,1.2790697674418605,0.06976744186046512,38512.395348837206,0.2800387596899225
Effect of Changing Dimensions of a Shape Prportionally,0.625,1.0,0.375,35381.25,0.3125
Elapsed Time,1.0,1.0,0.0,87614.0,0.125
English and Metric Terminology,0.6363636363636364,1.1818181818181819,0.36363636363636365,67537.54545454546,0.3295454545454546
Equal As Balance Concept,0.0,1.0,0.0,195530.0,0.4583333333333333
Equation Solving More Than Two Steps,0.5758620689655173,1.353448275862069,0.7931034482758621,129092.59827586207,0.4427442528735632
Equation Solving Two or Fewer Steps,0.7169431875314228,1.3368526897938662,0.30165912518853694,42384.99648064354,0.3117353779118485
Equivalent Fractions,0.7091503267973857,1.2843137254901962,0.369281045751634,51464.09150326798,0.31903594771241833
Estimation,0.42857142857142855,1.8928571428571428,0.32142857142857145,27414.071428571428,0.4806547619047619
"Expanded, Standard and Word Notation",0.7096774193548387,1.2580645161290323,0.12903225806451613,45531.967741935485,0.2755376344086022
Exponents,0.75,1.278688524590164,0.24180327868852458,28975.825819672133,0.28346994535519127
